"","Spec","x","Gender","Race","cohort","b","se","ll","ul","id"
"91","RaisedWith2Adults","RaisedWith2Adults","All","All",2009,NA,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_All"
"92","RaisedWith2Adults","RaisedWith2Adults","All","All",2010,NA,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_All"
"93","RaisedWith2Adults","RaisedWith2Adults","All","All",2011,NA,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_All"
"94","RaisedWith2Adults","RaisedWith2Adults","All","WhiteNonH",1920,NA,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_WhiteNonH"
"95","RaisedWith2Adults","RaisedWith2Adults","All","WhiteNonH",1921,NA,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_WhiteNonH"
"96","RaisedWith2Adults","RaisedWith2Adults","All","WhiteNonH",1922,NA,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_WhiteNonH"
"97","RaisedWith2Adults","RaisedWith2Adults","All","WhiteNonH",1923,NA,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_WhiteNonH"
"98","RaisedWith2Adults","RaisedWith2Adults","All","WhiteNonH",1924,NA,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_WhiteNonH"
"99","RaisedWith2Adults","RaisedWith2Adults","All","WhiteNonH",1925,NA,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_WhiteNonH"
"100","RaisedWith2Adults","RaisedWith2Adults","All","WhiteNonH",1926,NA,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_WhiteNonH"
"101","RaisedWith2Adults","RaisedWith2Adults","All","WhiteNonH",1927,0.131360422781406,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_WhiteNonH"
"102","RaisedWith2Adults","RaisedWith2Adults","All","WhiteNonH",1928,0.144423595756885,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_WhiteNonH"
"103","RaisedWith2Adults","RaisedWith2Adults","All","WhiteNonH",1929,0.142294264065261,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_WhiteNonH"
"104","RaisedWith2Adults","RaisedWith2Adults","All","WhiteNonH",1930,0.147888938121408,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_WhiteNonH"
"105","RaisedWith2Adults","RaisedWith2Adults","All","WhiteNonH",1931,0.153617138322039,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_WhiteNonH"
"106","RaisedWith2Adults","RaisedWith2Adults","All","WhiteNonH",1932,0.156067706304286,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_WhiteNonH"
"107","RaisedWith2Adults","RaisedWith2Adults","All","WhiteNonH",1933,0.158826674928952,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_WhiteNonH"
